id;date;treatment;reported_diceroll;correct_guess;age;female;education;universitydegree;sector;employed;highincome;politicalright;believeingod;believeinfreewill;generaltrust
161;07.09.2019 10:45;Control;3;0;19;1;2;0;2;1;NA;8;11;9;7
162;07.09.2019 10:46;Trust_promise;2;0;29;1;4;1;2;1;1;2;6;9;5
163;07.09.2019 10:47;Trust_promise;3;0;54;1;3;1;2;1;1;5;1;8;8
164;07.09.2019 10:52;Trust_promise;1;0;69;0;4;1;1;1;1;6;11;10;7
165;07.09.2019 10:51;Control;2;1;51;0;4;1;1;1;1;6;6;6;6
166;07/22/2019 09:38;Control;6;0;29;1;3;1;1;1;1;6;1;9;7
167;07.09.2019 10:54;Trust_promise;1;1;26;0;2;0;2;1;1;6;1;6;6
168;07.09.2019 10:57;Control;2;1;28;1;2;0;1;1;0;9;8;10;4
169;07.09.2019 11:04;Control;3;0;74;1;2;0;2;1;0;11;6;6;10
170;07.09.2019 10:57;Trust_promise;2;1;27;0;1;0;1;1;1;3;1;7;7
171;07.09.2019 11:01;Control;6;1;58;1;6;0;1;1;0;6;4;3;6
172;07.09.2019 10:58;Trust_promise;3;0;54;1;3;1;2;1;0;5;10;10;9
173;07.09.2019 11:04;Trust_promise;3;1;24;1;3;1;1;1;NA;5;7;5;3
174;07.09.2019 11:01;Control;4;0;71;0;3;1;3;0;0;4;6;8;8
175;07.09.2019 11:00;Control;5;0;31;1;2;0;1;1;0;2;1;10;8
176;07.09.2019 11:01;Trust_promise;3;1;38;1;3;1;1;1;1;9;1;9;8
177;07.09.2019 11:04;Control;6;1;64;1;2;0;2;1;1;6;10;7;9
178;07.09.2019 11:05;Trust_promise;6;1;50;0;3;1;2;1;1;9;1;9;5
179;07.09.2019 11:10;Trust_promise;3;0;63;0;3;1;2;1;1;2;3;11;9
180;07.09.2019 11:12;Trust_promise;4;1;42;1;2;0;1;1;1;6;3;6;7
181;07.09.2019 11:10;Control;5;0;47;1;3;1;3;0;0;6;11;9;8
182;07.09.2019 11:26;Control;5;0;41;0;3;1;1;1;1;9;11;11;8
183;07.09.2019 11:15;Trust_promise;6;0;41;1;2;0;1;1;NA;6;1;11;8
184;07.09.2019 11:17;Control;5;0;68;1;4;1;3;0;0;7;1;10;8
185;07.09.2019 11:20;Trust_promise;5;0;30;0;2;0;1;1;0;4;6;7;8
186;07.09.2019 11:20;Control;6;1;74;0;2;0;3;0;0;4;1;10;8
187;07.09.2019 11:20;Trust_promise;3;1;35;0;4;1;2;1;1;4;8;8;8
188;07.09.2019 11:24;Control;2;0;70;0;3;1;3;0;0;9;1;8;9
189;07.09.2019 11:25;Control;1;0;62;0;3;1;2;1;1;8;6;8;9
190;07.09.2019 11:25;Trust_promise;6;1;54;1;2;0;1;1;1;7;7;6;9
191;07.09.2019 11:29;Control;4;1;59;0;3;1;2;1;1;10;10;7;5
192;07.09.2019 11:27;Trust_promise;3;0;20;1;2;0;1;1;0;3;8;9;7
193;07.09.2019 11:29;Control;2;1;22;1;2;0;3;0;0;7;4;4;4
194;07.09.2019 11:31;Trust_promise;6;0;35;0;1;0;1;1;0;6;2;9;7
195;07.09.2019 11:35;Control;4;1;70;0;4;1;1;1;NA;4;5;9;9
196;07.09.2019 11:38;Trust_promise;5;1;57;1;2;0;2;1;0;5;4;9;10
197;07.09.2019 11:42;Control;2;1;29;1;2;0;1;1;0;9;3;8;5
198;07.09.2019 11:42;Trust_promise;5;1;43;0;3;1;2;1;1;7;3;8;9
199;07.09.2019 11:43;Control;2;0;40;1;4;1;1;1;NA;9;5;7;4
200;07.09.2019 11:44;Trust_promise;2;1;71;0;3;1;3;0;NA;7;6;4;5
201;07.09.2019 11:45;Trust_promise;4;0;63;0;2;0;1;1;0;6;1;6;4
202;07.09.2019 11:45;Control;3;0;27;0;2;0;3;0;NA;4;3;9;9
203;07.09.2019 11:48;Control;6;0;73;0;2;0;3;0;NA;9;1;11;9
204;07.09.2019 11:46;Trust_promise;1;0;45;0;2;0;1;1;1;7;2;10;8
205;07.09.2019 11:51;Trust_promise;2;0;26;0;1;0;3;0;0;10;1;11;9
206;07.09.2019 11:52;Control;2;0;69;0;3;1;3;0;0;3;1;9;8
207;07.09.2019 12:00;Control;3;0;25;1;4;1;2;1;0;6;4;5;5
208;07.09.2019 11:58;Control;2;1;27;1;4;1;2;1;1;3;2;9;7
209;07.09.2019 11:59;Trust_promise;3;0;43;0;3;1;1;1;1;7;1;8;9
210;07.09.2019 12:01;Control;3;0;30;1;3;1;1;1;0;3;1;11;1
211;07.09.2019 12:08;Trust_promise;3;0;79;0;4;1;3;0;1;8;1;6;4
212;07.09.2019 12:07;Control;1;0;28;1;2;0;1;1;0;3;6;9;9
213;07.09.2019 12:07;Control;1;0;24;0;2;0;2;1;0;6;4;11;4
214;07.09.2019 12:08;Trust_promise;3;1;27;1;3;1;1;1;0;6;1;8;8
215;07.09.2019 12:10;Trust_promise;2;1;53;0;2;0;3;0;0;1;1;8;6
216;07.09.2019 12:11;Control;4;0;25;1;3;1;1;1;0;7;5;9;3
